serial_no,alumni_id,student_id,current_employer_id,current_title,years_experience,career_stage,skills_primary,skills_secondary,certifications,achievements,mentoring_interest,volunteering_interest,is_active_member,last_engagement_date,profile_visibility,preferred_contact_method,preferred_time_zone,portfolio_url,github_url,created_at
267,7af0dbb6-ab8f-4067-802f-afa07720ce9d,a5101496-5d9e-4c9d-8458-2ca266c6f221,EMP000267,ML Engineer,11.5,Lead,"Python, SQL, Statistics","Communication, Teamwork",AWS CCP,Published Paper,1,0,1,04/16/2023,SLU-only,Phone,America/Chicago,https://portfolio.example.com/harry-ortiz-267,https://github.com/hortiz267,2025-10-25 05:48:41
268,da4d13e2-5f8f-48b9-b94c-f3bdc3db4876,54f5bf57-042d-4c81-afa8-f080d9c3b81c,EMP000268,Data Engineer,3.8,Mid,"ETL, Databases, Cloud","Spark, Hadoop, PySpark",Security+,Capstone Award,1,1,1,02/13/2024,SLU-only,Email,America/New_York,https://portfolio.example.com/katie-swanson-268,https://github.com/kswanson268,2025-10-25 05:48:41
269,ee7fd64d-4f2d-410f-a47a-56b218e4a239,5cfa0679-a3d6-4fe8-a27a-075d5e74e958,EMP000269,QA Engineer,4.7,Mid,"Java, Algorithms, Data Structures","AWS, Azure, GCP",Azure Fundamentals,Volunteer Lead,1,1,1,01/14/2026,SLU-only,Email,America/Chicago,https://portfolio.example.com/jose-herrera-269,https://github.com/jherrera269,2025-10-25 05:48:41
270,cb443f03-e80d-4954-8391-8f07351614e5,2a2ed652-b6df-4b18-ada4-2bbf5de45543,EMP000270,Business Analyst,11.4,Lead,"Git, CI/CD, Microservices","AWS, Azure, GCP",PMP,Hackathon Winner,0,1,1,10/14/2025,Public,LinkedIn,America/Chicago,https://portfolio.example.com/danielle-vega-270,https://github.com/dvega270,2025-10-25 05:48:41
271,da242b70-fe8f-4dfe-9c66-ac9389fd71de,e5c56b85-06d4-40fa-8025-f915dd8c4944,EMP000271,Software Engineer,8.5,Senior,"Python, SQL, Statistics","SIEM, SOC",PMP,Hackathon Winner,1,0,0,06/15/2023,SLU-only,Phone,America/New_York,https://portfolio.example.com/lisa-murphy-271,https://github.com/lmurphy271,2025-10-25 05:48:41
272,325e2fbc-bf65-46f1-9a8f-449b5f9378d2,5904f9fa-b157-45bd-9f50-572baeb6b164,EMP000272,Software Engineer,11.0,Lead,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",Security+,Volunteer Lead,1,1,1,03/15/2025,Public,LinkedIn,America/New_York,https://portfolio.example.com/alan-harmon-272,https://github.com/aharmon272,2025-10-25 05:48:41
273,31262fcd-9a47-4d94-b517-cb3d5a153a19,9d38b7f2-c109-4654-a444-84a0ae9f0047,EMP000273,Data Analyst,9.8,Senior,"Java, Algorithms, Data Structures","DAX, Modeling, Dashboards",None,Volunteer Lead,0,1,1,03/16/2026,Public,Email,America/New_York,https://portfolio.example.com/ana-chung-273,https://github.com/achung273,2025-10-25 05:48:41
274,39fad09b-404d-40d4-beb8-86ded2cdfd17,59c40d39-7c6f-43d2-bce2-8f537004df19,EMP000274,Associate Consultant,4.2,Mid,"Git, CI/CD, Microservices","ML, DL, MLOps",Security+,Dean's List,0,1,1,12/31/2026,Public,Email,America/Los_Angeles,https://portfolio.example.com/renee-huffman-274,https://github.com/rhuffman274,2025-10-25 05:48:41
275,9a44bab0-341c-47dd-b6d6-38c3b9fe1270,84cd9dd9-de4d-4b26-9c40-77d3d89e4fe7,EMP000275,Data Engineer,9.1,Senior,"Git, CI/CD, Microservices","ML, DL, MLOps",AWS CCP,Dean's List,1,0,0,06/14/2025,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/elizabeth-castro-275,https://github.com/ecastro275,2025-10-25 05:48:41
276,c6e2cbbe-81a3-48fd-8a1a-d85c12a9856c,8a75e08b-6f88-4edd-8949-44e7e9935435,EMP000276,Security Analyst,3.5,Mid,"ETL, Databases, Cloud","ML, DL, MLOps",PMP,Hackathon Winner,1,1,1,08/15/2022,SLU-only,Phone,America/Chicago,https://portfolio.example.com/daniel-davis-276,https://github.com/ddavis276,2025-10-25 05:48:41
277,f522f578-2449-40b9-a45f-e4f73b47d102,f50b0620-0ad3-416d-9de8-37f6626d7cd6,EMP000277,Cloud Engineer,11.3,Lead,"Python, SQL, Statistics","Spark, Hadoop, PySpark",Azure Fundamentals,Hackathon Winner,1,0,1,07/15/2024,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/todd-esparza-277,https://github.com/tesparza277,2025-10-25 05:48:41
278,36c7258e-0985-4145-9e10-bd3116a27723,0fdd82ca-644f-4216-bf34-7a4430000145,EMP000278,Data Analyst,6.0,Senior,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",Azure Fundamentals,Dean's List,1,1,0,12/31/2026,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/michael-ward-278,https://github.com/mward278,2025-10-25 05:48:41
279,baeaf553-593b-40ca-a1fc-b5306192af47,76070085-a90b-41e8-8cb6-0a72c71f6552,EMP000279,Security Analyst,0.7,Early,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",Security+,Hackathon Winner,0,0,0,02/12/2026,Public,Email,America/New_York,https://portfolio.example.com/maurice-wheeler-279,https://github.com/mwheeler279,2025-10-25 05:48:41
280,ec8f0eb0-ebca-4c4a-aa5d-32fa449bcc0c,1e083f58-41eb-4df6-9d56-d07d466baa75,EMP000280,Cloud Engineer,7.4,Senior,"Network Security, Splunk, IAM","Communication, Teamwork",Security+,Published Paper,1,0,0,07/14/2024,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/shirley-wang-280,https://github.com/swang280,2025-10-25 05:48:41
281,0d6261a7-2d65-4e01-b029-a52455066e15,5ad53680-58ed-418a-973b-90e0d98d669c,EMP000281,Data Engineer,2.8,Mid,"Git, CI/CD, Microservices","SIEM, SOC",Azure Fundamentals,Dean's List,0,1,1,10/14/2025,SLU-only,Phone,America/Los_Angeles,https://portfolio.example.com/jacqueline-white-281,https://github.com/jwhite281,2025-10-25 05:48:41
282,2c117997-34ee-4a44-9574-63a08522ef7f,c6c55c2d-9350-4d70-b1d1-ec0e777dedf3,EMP000282,QA Engineer,6.9,Senior,"Network Security, Splunk, IAM","SIEM, SOC",Azure Fundamentals,Published Paper,0,1,0,04/15/2025,Public,Email,America/Los_Angeles,https://portfolio.example.com/lauren-douglas-282,https://github.com/ldouglas282,2025-10-25 05:48:41
283,0f17fa8d-ca97-4b6d-842f-ab329564331c,969c0af3-de48-42ad-a03c-6a9b56741ac4,EMP000283,Data Engineer,0.1,Early,"ETL, Databases, Cloud","DAX, Modeling, Dashboards",Azure Fundamentals,Published Paper,1,1,0,12/31/2026,Private,Phone,America/New_York,https://portfolio.example.com/katelyn-fernandez-283,https://github.com/kfernandez283,2025-10-25 05:48:41
284,f10f81af-4c1e-48fc-a92e-ca569cd7a1ee,9fc4cddc-d2f0-4765-be98-944e11ae3ac6,EMP000284,Product Analyst,7.3,Senior,"Git, CI/CD, Microservices","SIEM, SOC",AWS CCP,Dean's List,0,0,0,02/13/2026,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/kiara-molina-284,https://github.com/kmolina284,2025-10-25 05:48:41
285,e0674159-a583-4a74-bef3-0113d2c78018,61c81975-a0d6-4ac6-906c-fb683e0ee62b,EMP000285,Software Engineer,2.7,Mid,"ETL, Databases, Cloud","ML, DL, MLOps",PMP,Dean's List,0,1,0,04/14/2023,Private,LinkedIn,America/New_York,https://portfolio.example.com/steven-thompson-285,https://github.com/sthompson285,2025-10-25 05:48:41
286,f17daf1e-8ecd-4f3a-8cfa-225d7a6ed931,67d5d7ca-f59d-49a2-b88d-8e1f4ae20bb0,EMP000286,Product Analyst,4.0,Mid,"ETL, Databases, Cloud","SIEM, SOC",None,Dean's List,0,1,1,12/14/2025,Public,Email,America/Chicago,https://portfolio.example.com/jessica-carter-286,https://github.com/jcarter286,2025-10-25 05:48:41
287,c67636c3-0c09-4f66-b8e2-efcbe8467a48,090e2e03-afcd-4647-bea6-b2a9778e9658,EMP000287,ML Engineer,11.3,Lead,"Python, SQL, Statistics","DAX, Modeling, Dashboards",None,Published Paper,0,1,1,10/14/2026,SLU-only,Phone,America/New_York,https://portfolio.example.com/adam-hawkins-287,https://github.com/ahawkins287,2025-10-25 05:48:41
288,086e1497-f4a2-472d-8b67-eef413538d7b,68f4ed48-b70b-4079-85e9-4ff9484b981f,EMP000288,ML Engineer,5.6,Senior,"Power BI, Excel, Storytelling","Spark, Hadoop, PySpark",AWS CCP,Hackathon Winner,0,0,0,08/15/2023,Public,Phone,America/New_York,https://portfolio.example.com/jennifer-rodriguez-288,https://github.com/jrodriguez288,2025-10-25 05:48:41
289,a6a9883f-6c45-485d-8104-91ad875d870f,c083125a-13cd-483c-ba54-5aca065149a8,EMP000289,ML Engineer,0.0,Early,"ETL, Databases, Cloud","DAX, Modeling, Dashboards",AWS CCP,Capstone Award,0,0,1,12/31/2026,SLU-only,Email,America/Chicago,https://portfolio.example.com/sandra-rodriguez-289,https://github.com/srodriguez289,2025-10-25 05:48:41
290,06739635-2813-45df-9def-baae0dbc11d9,4a733a00-152e-44bd-82ed-debb4d991d11,EMP000290,QA Engineer,11.5,Lead,"ETL, Databases, Cloud","ML, DL, MLOps",PMP,Hackathon Winner,1,1,0,03/14/2024,SLU-only,Email,America/New_York,https://portfolio.example.com/eric-reeves-290,https://github.com/ereeves290,2025-10-25 05:48:41
291,7cd66064-9744-4c6f-a003-e590629ed730,f9823689-5eb1-439e-8007-5e755f9bd242,EMP000291,Data Engineer,1.6,Early,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",Azure Fundamentals,Published Paper,0,1,1,12/31/2026,Private,LinkedIn,America/Chicago,https://portfolio.example.com/lori-smith-291,https://github.com/lsmith291,2025-10-25 05:48:41
292,b08d9e88-6993-4b01-aa0a-476dcab1cc50,26eb3c46-3272-4bda-846b-318e9add5f82,EMP000292,Cloud Engineer,8.8,Senior,"Python, SQL, Statistics","SIEM, SOC",PMP,Hackathon Winner,1,0,1,09/15/2026,Public,Phone,America/Los_Angeles,https://portfolio.example.com/joan-green-292,https://github.com/jgreen292,2025-10-25 05:48:41
293,e60fb8f0-892b-48cc-8e97-6da9c369cb53,632c76da-5b1f-49be-b8f1-6d1e01d85a5a,EMP000293,Business Analyst,0.2,Early,"Java, Algorithms, Data Structures","SIEM, SOC",AWS CCP,Dean's List,0,0,1,06/14/2025,Public,Email,America/Chicago,https://portfolio.example.com/crystal-scott-293,https://github.com/cscott293,2025-10-25 05:48:41
294,bf90b584-f802-40a5-89b0-9bec188a3da9,bfa307b5-cc30-4dbe-826f-e5c13a4c0af9,EMP000294,ML Engineer,6.7,Senior,"Git, CI/CD, Microservices","Spark, Hadoop, PySpark",Security+,Capstone Award,1,0,1,03/15/2025,Private,Phone,America/Chicago,https://portfolio.example.com/megan-mcfarland-294,https://github.com/mmcfarland294,2025-10-25 05:48:41
295,f03d68e3-c0ef-478a-9608-1de020c4a5ba,dbffb3d7-02b3-45b4-8f77-fdd5d5312027,EMP000295,Data Engineer,1.2,Early,"Network Security, Splunk, IAM","AWS, Azure, GCP",Azure Fundamentals,Hackathon Winner,0,0,0,02/14/2024,Private,Email,America/Los_Angeles,https://portfolio.example.com/henry-rodriguez-295,https://github.com/hrodriguez295,2025-10-25 05:48:41
296,c401d138-4981-4b8e-ac3e-8f8294abaa7e,c434f78c-28f0-417b-b39d-56ae2fb5213f,EMP000296,Product Analyst,10.0,Lead,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",PMP,Dean's List,1,1,1,08/15/2026,Private,Email,America/Los_Angeles,https://portfolio.example.com/barbara-miranda-296,https://github.com/bmiranda296,2025-10-25 05:48:41
297,a62d1ce2-52a4-4523-9840-588c98ae4f5f,f3f09a0f-9436-4d0e-bd62-54a3ddef47fb,EMP000297,Business Analyst,9.9,Senior,"Java, Algorithms, Data Structures","Communication, Teamwork",Security+,Capstone Award,1,0,1,12/31/2026,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/stacy-miller-297,https://github.com/smiller297,2025-10-25 05:48:41
298,912ce857-1af2-46ac-a904-947bafad747c,a56edacd-c6ca-4f8e-9d4d-e2468fe08620,EMP000298,Data Engineer,6.2,Senior,"Java, Algorithms, Data Structures","ML, DL, MLOps",None,Capstone Award,0,0,0,12/14/2026,Public,LinkedIn,America/New_York,https://portfolio.example.com/jason-moore-298,https://github.com/jmoore298,2025-10-25 05:48:41
299,00fc1b11-ea52-488b-9af5-ed5be107b953,51d12e63-468f-4040-90c3-0c39155bcd66,EMP000299,ML Engineer,8.6,Senior,"Network Security, Splunk, IAM","DAX, Modeling, Dashboards",Azure Fundamentals,Dean's List,0,1,1,08/15/2026,Public,Email,America/Los_Angeles,https://portfolio.example.com/peter-gregory-299,https://github.com/pgregory299,2025-10-25 05:48:41
300,ccc1788c-da55-4da2-8b5a-680043473dc8,f58373d6-e324-405a-bf13-d23a445f1206,EMP000300,Associate Consultant,5.9,Senior,"Power BI, Excel, Storytelling","ML, DL, MLOps",Azure Fundamentals,Hackathon Winner,1,1,0,02/12/2025,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/rachel-wilcox-300,https://github.com/rwilcox300,2025-10-25 05:48:41
301,a6f39c2a-72b4-4a3e-9680-1e45fd4682db,17f1ee44-935f-437d-841d-c8640804134b,EMP000301,Cloud Engineer,2.0,Mid,"Python, SQL, Statistics","Communication, Teamwork",PMP,Capstone Award,1,0,0,10/15/2026,Private,LinkedIn,America/New_York,https://portfolio.example.com/megan-bean-301,https://github.com/mbean301,2025-10-25 05:48:41
302,28476690-54a0-42d8-b3ec-1bfd9541e66b,6b4f466b-f211-429c-a499-e0fbfd05019c,EMP000302,Cloud Engineer,6.2,Senior,"Power BI, Excel, Storytelling","AWS, Azure, GCP",Security+,Volunteer Lead,0,0,0,08/15/2022,SLU-only,Email,America/New_York,https://portfolio.example.com/dana-coleman-302,https://github.com/dcoleman302,2025-10-25 05:48:41
303,9833b4c9-b8e6-4181-b49c-b7b2317a39e1,2aac66f3-3ffa-4582-9529-d58fdd7d37f6,EMP000303,Data Engineer,0.1,Early,"Python, SQL, Statistics","ML, DL, MLOps",Azure Fundamentals,Dean's List,1,1,1,02/14/2024,Private,Email,America/Chicago,https://portfolio.example.com/patricia-ball-303,https://github.com/pball303,2025-10-25 05:48:41
304,55d0e8fd-33ed-4fc9-b52f-5936afef8658,26a5d183-4107-40e9-9307-d95c9e220493,EMP000304,Software Engineer,1.8,Early,"ETL, Databases, Cloud","ML, DL, MLOps",Azure Fundamentals,Dean's List,1,0,0,04/15/2023,Private,Email,America/Los_Angeles,https://portfolio.example.com/joseph-owens-304,https://github.com/jowens304,2025-10-25 05:48:41
305,912bfa07-0945-4f93-937f-84fd29d66ee7,27cffd01-f1f7-41aa-9a76-14a2f6cfe37f,EMP000305,Product Analyst,10.1,Lead,"Power BI, Excel, Storytelling","Spark, Hadoop, PySpark",Security+,Hackathon Winner,0,1,1,03/16/2026,SLU-only,Phone,America/New_York,https://portfolio.example.com/cody-medina-305,https://github.com/cmedina305,2025-10-25 05:48:41
306,65202ad3-b60f-4e62-8424-0c99ba17b5f5,cc4f9bd9-cc20-4af7-891e-61d3ae59a740,EMP000306,Data Analyst,3.9,Mid,"Python, SQL, Statistics","Communication, Teamwork",AWS CCP,Volunteer Lead,1,0,0,08/14/2023,Public,LinkedIn,America/Chicago,https://portfolio.example.com/yvonne-campbell-306,https://github.com/ycampbell306,2025-10-25 05:48:41
307,31e15ebe-807c-4bd7-a4d2-eeb0a9832d1f,625837d8-b58e-48a3-9313-710f1fb72922,EMP000307,Cloud Engineer,6.7,Senior,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",AWS CCP,Published Paper,0,1,0,04/15/2024,Public,Email,America/Chicago,https://portfolio.example.com/michael-singh-307,https://github.com/msingh307,2025-10-25 05:48:41
308,03c6e98c-4f9b-4a2e-b984-ccab1df027ec,e9ce3718-c3a2-463e-aeed-6c85588f4aff,EMP000308,Business Analyst,2.4,Mid,"Python, SQL, Statistics","AWS, Azure, GCP",Azure Fundamentals,Volunteer Lead,1,0,0,06/16/2026,Private,Phone,America/New_York,https://portfolio.example.com/jessica-meyers-308,https://github.com/jmeyers308,2025-10-25 05:48:41
309,145894d6-e29f-4ca5-b0b9-a860d5e088d5,7f17df2d-385b-436f-ab0b-426abdc4cb7b,EMP000309,Data Analyst,2.8,Mid,"Network Security, Splunk, IAM","DAX, Modeling, Dashboards",Azure Fundamentals,Published Paper,0,1,0,08/15/2022,Private,LinkedIn,America/New_York,https://portfolio.example.com/annette-hall-309,https://github.com/ahall309,2025-10-25 05:48:41
310,59d9c15a-3ef0-4b97-a836-9a4ae36330e7,e0db2d9a-cedc-47f3-be16-a074d4f11f55,EMP000310,Cloud Engineer,4.5,Mid,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",PMP,Hackathon Winner,0,1,0,12/14/2025,Private,Email,America/Chicago,https://portfolio.example.com/emily-torres-310,https://github.com/etorres310,2025-10-25 05:48:41
311,9a149623-0ec0-4741-8bfc-568b21717452,92a380c8-3c17-41c9-a995-9f1a81cee1bf,EMP000311,Cloud Engineer,4.1,Mid,"Power BI, Excel, Storytelling","ML, DL, MLOps",Azure Fundamentals,Hackathon Winner,1,1,0,12/14/2021,Public,Email,America/Chicago,https://portfolio.example.com/david-smith-311,https://github.com/dsmith311,2025-10-25 05:48:41
312,2efec401-6cd5-43b4-a3d6-4c216dfc4845,44ea971a-154a-43a7-9b35-eb8a18aaf02f,EMP000312,QA Engineer,6.1,Senior,"ETL, Databases, Cloud","SIEM, SOC",PMP,Volunteer Lead,1,0,1,05/14/2024,Private,Email,America/Chicago,https://portfolio.example.com/sara-owens-312,https://github.com/sowens312,2025-10-25 05:48:41
313,69df5a45-5882-4dda-9ae2-e98789fd05c4,c2c1dd42-b9d0-430c-83fc-9046e28ba591,EMP000313,Product Analyst,9.0,Senior,"Power BI, Excel, Storytelling","SIEM, SOC",None,Hackathon Winner,0,1,0,12/14/2025,Public,Email,America/New_York,https://portfolio.example.com/benjamin-brown-313,https://github.com/bbrown313,2025-10-25 05:48:41
314,72029c46-464f-40c3-b080-5af6185a9e4b,5c2118fb-51dd-4f4c-896d-3f3e257af7c7,EMP000314,QA Engineer,8.4,Senior,"Git, CI/CD, Microservices","SIEM, SOC",None,Capstone Award,0,0,1,01/13/2026,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/linda-mcclain-314,https://github.com/lmcclain314,2025-10-25 05:48:41
315,46292630-12b0-49ad-ac37-c28ef2fe7da5,09753374-3605-4996-9e77-e4b7ef1cf27f,EMP000315,Business Analyst,6.5,Senior,"Power BI, Excel, Storytelling","SIEM, SOC",Security+,Hackathon Winner,1,0,0,07/16/2025,Public,LinkedIn,America/New_York,https://portfolio.example.com/matthew-james-315,https://github.com/mjames315,2025-10-25 05:48:41
316,f712d122-6c7b-4bf0-926d-a9504094220c,83c4bb81-86e4-4616-a67c-7f68cc5d4fa0,EMP000316,Data Engineer,0.7,Early,"ETL, Databases, Cloud","ML, DL, MLOps",Security+,Volunteer Lead,0,1,1,12/31/2026,Private,LinkedIn,America/New_York,https://portfolio.example.com/justin-martin-316,https://github.com/jmartin316,2025-10-25 05:48:41
317,e6fa1eb0-02a2-4f31-a9e8-f49612cf60a4,973c6f39-b214-4ab0-ae0e-84a15334b73b,EMP000317,Business Analyst,9.7,Senior,"Power BI, Excel, Storytelling","AWS, Azure, GCP",Azure Fundamentals,Published Paper,1,1,0,01/13/2024,Private,Phone,America/Chicago,https://portfolio.example.com/belinda-evans-317,https://github.com/bevans317,2025-10-25 05:48:41
318,d8e3e08a-4220-4a69-b4ce-8028dd3a77f0,f399c615-e1d6-4c05-b785-e6a9a4bc8c80,EMP000318,Cloud Engineer,4.3,Mid,"Power BI, Excel, Storytelling","AWS, Azure, GCP",None,Published Paper,0,1,1,06/15/2026,SLU-only,LinkedIn,America/New_York,https://portfolio.example.com/laura-johnson-318,https://github.com/ljohnson318,2025-10-25 05:48:41
319,4e24edb1-b72a-4d9e-a9bb-dafa998af449,8e8b484d-ce39-4612-9ddb-3aab0b0cc056,EMP000319,Data Engineer,10.8,Lead,"Network Security, Splunk, IAM","AWS, Azure, GCP",Security+,Capstone Award,1,1,0,12/31/2026,SLU-only,Email,America/New_York,https://portfolio.example.com/jesus-roberts-319,https://github.com/jroberts319,2025-10-25 05:48:41
320,508d7b14-6ec6-471c-8e1b-e8b2ed7898d3,a0e7243e-e39a-4def-8ad4-0b0cef19d137,EMP000320,Associate Consultant,1.3,Early,"Network Security, Splunk, IAM","AWS, Azure, GCP",AWS CCP,Volunteer Lead,1,1,1,04/15/2025,Public,Phone,America/Chicago,https://portfolio.example.com/mary-hunt-320,https://github.com/mhunt320,2025-10-25 05:48:41
321,48a15fd8-fe9c-44d6-9ad4-3a5869372784,69334b82-c593-4edc-a885-f831e4d6e22e,EMP000321,Data Engineer,0.5,Early,"Java, Algorithms, Data Structures","Communication, Teamwork",None,Hackathon Winner,1,1,0,01/13/2024,Public,Phone,America/New_York,https://portfolio.example.com/matthew-yang-321,https://github.com/myang321,2025-10-25 05:48:41
322,36542119-faae-4e38-b75f-bab8dca4a9d2,86c89d77-cbb4-44da-a922-2510d10b4436,EMP000322,Security Analyst,2.1,Mid,"ETL, Databases, Cloud","ML, DL, MLOps",None,Capstone Award,1,1,0,12/31/2026,SLU-only,Phone,America/New_York,https://portfolio.example.com/kelly-cobb-322,https://github.com/kcobb322,2025-10-25 05:48:41
323,817843e7-49ac-4338-b163-179d32df8171,590c5916-c52f-4583-8463-38b105111064,EMP000323,QA Engineer,10.3,Lead,"Power BI, Excel, Storytelling","SIEM, SOC",None,Dean's List,1,0,0,10/14/2026,Public,Email,America/Los_Angeles,https://portfolio.example.com/kimberly-stewart-323,https://github.com/kstewart323,2025-10-25 05:48:41
324,6449bbae-3b9b-4717-ac91-a952a8a3c25c,132f237c-6be9-4ec9-b94b-7c88615e3b20,EMP000324,Associate Consultant,0.3,Early,"Java, Algorithms, Data Structures","SIEM, SOC",Azure Fundamentals,Hackathon Winner,1,0,0,12/31/2026,Private,Phone,America/Los_Angeles,https://portfolio.example.com/sabrina-brown-324,https://github.com/sbrown324,2025-10-25 05:48:41
325,18aec713-360f-499d-a279-34cc3adf4c27,18a22a65-49fe-4185-9911-7e716edb2009,EMP000325,Business Analyst,11.1,Lead,"Power BI, Excel, Storytelling","Spark, Hadoop, PySpark",Security+,Dean's List,0,0,0,08/14/2025,Public,LinkedIn,America/New_York,https://portfolio.example.com/samantha-cherry-325,https://github.com/scherry325,2025-10-25 05:48:41
326,21e192fe-f212-4931-aa31-d628aed2c8e6,59765f2d-0803-4882-82e1-650b21972b1a,EMP000326,Security Analyst,4.8,Mid,"Git, CI/CD, Microservices","AWS, Azure, GCP",AWS CCP,Capstone Award,1,0,1,01/13/2025,Public,Email,America/Chicago,https://portfolio.example.com/lisa-mendoza-326,https://github.com/lmendoza326,2025-10-25 05:48:41
327,52ee7976-2a36-42b5-94b4-ad748c98b344,7cb07e04-617a-4189-86d1-b968659f60ae,EMP000327,Data Analyst,9.5,Senior,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",AWS CCP,Hackathon Winner,1,0,1,12/31/2026,SLU-only,Phone,America/Chicago,https://portfolio.example.com/martha-harris-327,https://github.com/mharris327,2025-10-25 05:48:41
328,cc09f7dc-9167-4d16-950c-ffa8c2361fd6,84bcc218-ce8e-42c5-97f3-ce25768caa1e,EMP000328,Data Analyst,5.0,Senior,"Git, CI/CD, Microservices","Spark, Hadoop, PySpark",PMP,Volunteer Lead,1,1,1,04/16/2025,Private,LinkedIn,America/Chicago,https://portfolio.example.com/maurice-krueger-328,https://github.com/mkrueger328,2025-10-25 05:48:41
329,df3a1720-fe3c-445e-b2f6-34485db659e6,6fa3f7e1-0b70-44e4-8d48-4b36b2c8e003,EMP000329,Security Analyst,3.2,Mid,"ETL, Databases, Cloud","AWS, Azure, GCP",Azure Fundamentals,Volunteer Lead,1,0,1,04/16/2022,Public,Phone,America/Chicago,https://portfolio.example.com/robert-brown-329,https://github.com/rbrown329,2025-10-25 05:48:41
330,81e8236c-c0a7-4560-a15d-882029075991,739a0faa-2480-4192-bfd7-bd04d25fc514,EMP000330,Business Analyst,9.9,Senior,"Java, Algorithms, Data Structures","DAX, Modeling, Dashboards",Azure Fundamentals,Volunteer Lead,1,1,0,10/15/2025,Public,Email,America/Los_Angeles,https://portfolio.example.com/philip-dennis-330,https://github.com/pdennis330,2025-10-25 05:48:41
331,dd7c3199-2673-44b1-ab7b-6aeaad971df4,d3fc214e-d6bd-4e9f-91b6-7fb338c92a06,EMP000331,Cloud Engineer,0.2,Early,"ETL, Databases, Cloud","SIEM, SOC",Security+,Volunteer Lead,1,0,1,10/14/2025,SLU-only,Phone,America/Chicago,https://portfolio.example.com/lauren-rich-331,https://github.com/lrich331,2025-10-25 05:48:41
332,7751aa06-a4c6-4137-bcfd-0b1e50468010,58293f39-66b1-474c-9e54-51c06bc8bf96,EMP000332,Cloud Engineer,3.6,Mid,"Network Security, Splunk, IAM","SIEM, SOC",PMP,Published Paper,0,0,0,07/14/2024,Public,Email,America/Los_Angeles,https://portfolio.example.com/robin-davis-332,https://github.com/rdavis332,2025-10-25 05:48:41
333,fe588c57-3cbd-4811-b85c-b476d344ebb2,0c1515f0-bc16-4d8b-89c6-7772ad5c7e9d,EMP000333,Security Analyst,6.4,Senior,"Network Security, Splunk, IAM","Spark, Hadoop, PySpark",PMP,Hackathon Winner,0,1,0,11/14/2026,Private,Phone,America/New_York,https://portfolio.example.com/nicholas-scott-333,https://github.com/nscott333,2025-10-25 05:48:41
334,fe9c8411-d06b-4331-ae03-f91d252d0f97,740128a6-8258-4e68-8bdf-bdd87f5c1402,EMP000334,Business Analyst,7.7,Senior,"Python, SQL, Statistics","SIEM, SOC",Azure Fundamentals,Hackathon Winner,1,0,1,02/13/2023,SLU-only,Phone,America/Chicago,https://portfolio.example.com/monica-ward-334,https://github.com/mward334,2025-10-25 05:48:41
335,2927ee05-52bd-4213-99f5-65a9475cba80,fb478979-ccf6-44f3-ad89-fddb9f3867ee,EMP000335,Business Analyst,11.9,Lead,"Java, Algorithms, Data Structures","ML, DL, MLOps",None,Dean's List,1,0,1,10/14/2025,SLU-only,Email,America/Chicago,https://portfolio.example.com/scott-fox-335,https://github.com/sfox335,2025-10-25 05:48:41
336,a7151df8-aec1-4bde-93a3-10e1370a5df4,aa3bd2da-c0e9-4082-a05c-508ae4a2a316,EMP000336,Business Analyst,2.0,Mid,"ETL, Databases, Cloud","Communication, Teamwork",PMP,Published Paper,1,1,0,03/16/2026,Public,Phone,America/Los_Angeles,https://portfolio.example.com/david-watkins-336,https://github.com/dwatkins336,2025-10-25 05:48:41
337,2fc1f04a-d784-4ab1-a85b-87270291d413,c56904e7-c77d-4d53-b342-b7c8162ba7f7,EMP000337,Software Engineer,11.6,Lead,"Power BI, Excel, Storytelling","Communication, Teamwork",None,Published Paper,1,0,1,11/14/2025,Private,Email,America/Los_Angeles,https://portfolio.example.com/sara-christensen-337,https://github.com/schristensen337,2025-10-25 05:48:41
338,7fc2a233-17fd-442a-9086-3750644bbbac,71caecc1-163b-4c46-ba25-4a46bbc53c6e,EMP000338,Data Analyst,7.5,Senior,"Python, SQL, Statistics","ML, DL, MLOps",AWS CCP,Dean's List,1,1,0,12/31/2026,Private,Phone,America/New_York,https://portfolio.example.com/dorothy-mann-338,https://github.com/dmann338,2025-10-25 05:48:41
