serial_no,student_id,slu_banner_id,first_name,last_name,preferred_name,slu_email,personal_email,phone_e164,program_name,college_name,concentration,start_term,grad_term,graduation_year,visa_status,opt_status,current_location_city,current_location_state,current_location_country,linkedin_url
235,a98c909a-2d3b-485c-ae12-4906fe4c90bd,B0100235,Cindy,Torres,Cindy,ctorres.235@slu.edu,cindy.torres235@example.com,19803992066,MBA,Chaifetz School of Business,Business Analytics,Spring-2021,Spring-2023,2023,F1,None,Hyderabad,TX,India,https://www.linkedin.com/in/slu-student-235
236,b5f99070-7d38-450a-893e-f43e31197026,B0100236,Nicole,Morgan,Cindy,nmorgan.236@slu.edu,nicole.morgan236@example.com,18865395295,MS Cybersecurity,School of Science & Engineering,Network Security,Spring-2022,Fall-2023,2023,F1,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-236
237,50f4446f-fddc-4a60-9aa6-b792bb0cac86,B0100237,Linda,Vance,Linda,lvance.237@slu.edu,linda.vance237@example.com,14339337602,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2022,Fall-2024,2024,F1,STEM OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-237
238,919e3193-5715-4884-83be-3ae9a90dea1d,B0100238,Dwayne,Solomon,Dwayne,dsolomon.238@slu.edu,dwayne.solomon238@example.com,15585514559,MS Data Science,School of Science & Engineering,Big Data,Spring-2023,Fall-2024,2024,F1,STEM OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-238
239,7edfd424-6827-4cd4-aafb-bcf75a6b4a60,B0100239,David,Richards,David,drichards.239@slu.edu,david.richards239@example.com,14682238807,MS Information Technology,School of Science & Engineering,Networking,Fall-2021,Spring-2023,2023,F1,OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-239
240,87ad9f8e-5267-4459-86d3-8d833844a152,B0100240,Mark,Landry,David,mlandry.240@slu.edu,mark.landry240@example.com,17466402480,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Summer-2020,Spring-2021,2021,F1,OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-240
241,a0ceac5a-bc35-439f-b917-bbb6c9ef149a,B0100241,Beth,Orr,Beth,borr.241@slu.edu,beth.orr241@example.com,18278258386,MS Cybersecurity,School of Science & Engineering,Network Security,Fall-2021,Fall-2022,2022,PR,None,Bengaluru,WA,India,https://www.linkedin.com/in/slu-student-241
242,809316e9-ab64-47a2-b041-7ab36fe902e7,B0100242,Vickie,Shepherd,Vickie,vshepherd.242@slu.edu,vickie.shepherd242@example.com,18595401659,MS Computer Science,School of Science & Engineering,AI & ML,Summer-2021,Spring-2022,2022,Citizen,None,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-242
243,b01feac7-3a93-4dd8-9f57-18843d4effd9,B0100243,Amanda,Roberts,Amanda,aroberts.243@slu.edu,amanda.roberts243@example.com,14977453282,MS Information Technology,School of Science & Engineering,Networking,Fall-2021,Spring-2023,2023,H1B,None,Bengaluru,WA,India,https://www.linkedin.com/in/slu-student-243
244,833f26e2-e7d5-46d5-b120-b71ad9199b59,B0100244,Omar,Murphy,Amanda,omurphy.244@slu.edu,omar.murphy244@example.com,17933388269,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2020,Fall-2021,2021,F1,STEM OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-244
245,d9d16f58-f0b3-4b86-af2d-b76924a7476d,B0100245,Rebecca,Perry,Rebecca,rperry.245@slu.edu,rebecca.perry245@example.com,18613553539,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2022,Summer-2023,2023,F1,None,Hyderabad,MO,India,https://www.linkedin.com/in/slu-student-245
246,da817c28-7d89-4066-adc2-c7ab9e19d006,B0100246,Bill,Lawrence,Bill,blawrence.246@slu.edu,bill.lawrence246@example.com,19637529733,MS Data Science,School of Science & Engineering,Big Data,Summer-2023,Spring-2025,2025,Citizen,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-246
247,ff0881a9-84de-4740-a09d-00f87db08ca6,B0100247,Ashley,Martin,Ashley,amartin.247@slu.edu,ashley.martin247@example.com,18435089697,MS Cybersecurity,School of Science & Engineering,Network Security,Summer-2024,Summer-2025,2025,F1,STEM OPT,Hyderabad,IL,India,https://www.linkedin.com/in/slu-student-247
248,3cdd8470-f304-41a6-bcbd-312a23f1a7e0,B0100248,Tammy,Barrett,Ashley,tbarrett.248@slu.edu,tammy.barrett248@example.com,13763571176,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2023,Summer-2024,2024,F1,OPT,Hyderabad,IL,India,https://www.linkedin.com/in/slu-student-248
249,21840bf9-c5c0-4a8d-b936-d0fc72afdd67,B0100249,Ryan,Singleton,Ryan,rsingleton.249@slu.edu,ryan.singleton249@example.com,12179844616,MBA,Chaifetz School of Business,Business Analytics,Fall-2021,Spring-2023,2023,F1,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-249
250,36de5183-3b1e-48bf-a534-42e3f69d2237,B0100250,Steven,Torres,Steven,storres.250@slu.edu,steven.torres250@example.com,12125936529,MS Cybersecurity,School of Science & Engineering,Network Security,Fall-2023,Summer-2024,2024,F1,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-250
251,12086edc-c20a-40e1-90a0-2382f429552a,B0100251,Richard,White,Richard,rwhite.251@slu.edu,richard.white251@example.com,12339941794,MS Information Systems,School of Science & Engineering,Data Analytics,Summer-2021,Fall-2022,2022,F1,STEM OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-251
252,4db01b00-0586-4842-8d68-88a7c3b86c93,B0100252,Robert,Chambers,Richard,rchambers.252@slu.edu,robert.chambers252@example.com,18578509937,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2022,Summer-2023,2023,F1,STEM OPT,Bengaluru,MO,India,https://www.linkedin.com/in/slu-student-252
253,472b9690-fc0a-4389-90b2-bc579eabc598,B0100253,Brenda,Rodriguez,Brenda,brodriguez.253@slu.edu,brenda.rodriguez253@example.com,14483412461,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2024,Spring-2026,2026,F1,OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-253
254,f82d4ed7-b6ba-476c-840c-3061e6f22f0e,B0100254,Carla,Flores,Carla,cflores.254@slu.edu,carla.flores254@example.com,16964776433,MS Cybersecurity,School of Science & Engineering,Network Security,Summer-2023,Summer-2025,2025,H1B,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-254
255,408cf47a-a729-456f-bc2c-e10f875da3f9,B0100255,Lisa,Lopez,Lisa,llopez.255@slu.edu,lisa.lopez255@example.com,17935787260,MS Computer Science,School of Science & Engineering,AI & ML,Fall-2024,Summer-2025,2025,Other,None,Hyderabad,MO,India,https://www.linkedin.com/in/slu-student-255
256,06423ca7-a393-4fb8-9d86-92b2d3e97dc7,B0100256,Elizabeth,Vasquez,Lisa,evasquez.256@slu.edu,elizabeth.vasquez256@example.com,16549644563,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Fall-2021,Summer-2023,2023,F1,OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-256
257,d1312732-45dc-4fad-a1b6-78f5df51c41e,B0100257,Theresa,Velez,Theresa,tvelez.257@slu.edu,theresa.velez257@example.com,16406021891,MS Computer Science,School of Science & Engineering,AI & ML,Fall-2022,Summer-2023,2023,F1,OPT,Hyderabad,WA,India,https://www.linkedin.com/in/slu-student-257
258,62e1ca0d-6106-40a6-9f65-cf4165ea4a6a,B0100258,Thomas,Rodriguez,Thomas,trodriguez.258@slu.edu,thomas.rodriguez258@example.com,16698391494,MBA,Chaifetz School of Business,Business Analytics,Spring-2023,Fall-2024,2024,F1,STEM OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-258
259,d970a173-d23b-4187-8d66-f931eb4b5169,B0100259,Laurie,Aguilar,Laurie,laguilar.259@slu.edu,laurie.aguilar259@example.com,12073595762,MS Data Science,School of Science & Engineering,Big Data,Summer-2022,Spring-2023,2023,F1,OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-259
260,264c6f07-8620-4653-a37f-b0bdcbaf8c18,B0100260,Teresa,Wright,Laurie,twright.260@slu.edu,teresa.wright260@example.com,17464976335,MS Software Engineering,School of Science & Engineering,Cloud Computing,Fall-2020,Summer-2021,2021,F1,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-260
261,6b0ab95c-fe66-484a-9101-d45b17a841d8,B0100261,Julia,Goodman,Julia,jgoodman.261@slu.edu,julia.goodman261@example.com,16124608611,MS Information Systems,School of Science & Engineering,Data Analytics,Fall-2024,Summer-2026,2026,H1B,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-261
262,b01f1cab-888f-4686-86c9-0ca1bd91496d,B0100262,Angie,Weaver,Angie,aweaver.262@slu.edu,angie.weaver262@example.com,18957157774,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Summer-2024,Spring-2025,2025,Citizen,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-262
263,640a7dd5-f370-4254-8818-21701a0221f6,B0100263,Jeffrey,Smith,Jeffrey,jsmith.263@slu.edu,jeffrey.smith263@example.com,17857005179,MBA,Chaifetz School of Business,Business Analytics,Summer-2024,Spring-2025,2025,PR,None,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-263
264,ef06520e-3949-4858-bd62-2597eb5a70ea,B0100264,Cristian,Aguilar,Jeffrey,caguilar.264@slu.edu,cristian.aguilar264@example.com,12679633758,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2023,Summer-2024,2024,F1,STEM OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-264
265,71348334-2035-440f-b45e-f997633754ca,B0100265,Briana,Lamb,Briana,blamb.265@slu.edu,briana.lamb265@example.com,15884849259,MBA,Chaifetz School of Business,Business Analytics,Fall-2023,Spring-2024,2024,F1,OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-265
266,760dc7a2-4af8-4649-8a92-3f5e2c9b73f3,B0100266,Jared,Jones,Jared,jjones.266@slu.edu,jared.jones266@example.com,18442723692,MS Cybersecurity,School of Science & Engineering,Network Security,Spring-2024,Spring-2026,2026,F1,OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-266
267,a5101496-5d9e-4c9d-8458-2ca266c6f221,B0100267,Harry,Ortiz,Harry,hortiz.267@slu.edu,harry.ortiz267@example.com,19588421146,MS Information Technology,School of Science & Engineering,Networking,Summer-2020,Fall-2022,2022,F1,STEM OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-267
268,54f5bf57-042d-4c81-afa8-f080d9c3b81c,B0100268,Katie,Swanson,Harry,kswanson.268@slu.edu,katie.swanson268@example.com,19912934966,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Fall-2020,Summer-2022,2022,H1B,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-268
269,5cfa0679-a3d6-4fe8-a27a-075d5e74e958,B0100269,Jose,Herrera,Jose,jherrera.269@slu.edu,jose.herrera269@example.com,13499137368,MS Data Science,School of Science & Engineering,Big Data,Spring-2023,Summer-2024,2024,F1,OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-269
270,2a2ed652-b6df-4b18-ada4-2bbf5de45543,B0100270,Danielle,Vega,Danielle,dvega.270@slu.edu,danielle.vega270@example.com,12993992603,MS Information Technology,School of Science & Engineering,Networking,Summer-2022,Summer-2024,2024,F1,STEM OPT,Bengaluru,TX,India,https://www.linkedin.com/in/slu-student-270
271,e5c56b85-06d4-40fa-8025-f915dd8c4944,B0100271,Lisa,Murphy,Lisa,lmurphy.271@slu.edu,lisa.murphy271@example.com,12533956194,MS Information Systems,School of Science & Engineering,Data Analytics,Fall-2020,Summer-2021,2021,F1,OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-271
272,5904f9fa-b157-45bd-9f50-572baeb6b164,B0100272,Alan,Harmon,Lisa,aharmon.272@slu.edu,alan.harmon272@example.com,18707533004,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Spring-2021,Fall-2023,2023,Other,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-272
273,9d38b7f2-c109-4654-a444-84a0ae9f0047,B0100273,Ana,Chung,Ana,achung.273@slu.edu,ana.chung273@example.com,12069768646,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2024,Fall-2025,2025,Other,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-273
274,59c40d39-7c6f-43d2-bce2-8f537004df19,B0100274,Renee,Huffman,Renee,rhuffman.274@slu.edu,renee.huffman274@example.com,19886188284,MS Information Technology,School of Science & Engineering,Networking,Spring-2024,Fall-2026,2026,F1,STEM OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-274
275,84cd9dd9-de4d-4b26-9c40-77d3d89e4fe7,B0100275,Elizabeth,Castro,Elizabeth,ecastro.275@slu.edu,elizabeth.castro275@example.com,12745671129,MS Information Technology,School of Science & Engineering,Networking,Spring-2022,Summer-2023,2023,F1,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-275
276,8a75e08b-6f88-4edd-8949-44e7e9935435,B0100276,Daniel,Davis,Elizabeth,ddavis.276@slu.edu,daniel.davis276@example.com,17889391771,MS Data Science,School of Science & Engineering,Big Data,Summer-2020,Fall-2021,2021,F1,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-276
277,f50b0620-0ad3-416d-9de8-37f6626d7cd6,B0100277,Todd,Esparza,Todd,tesparza.277@slu.edu,todd.esparza277@example.com,18467585117,MS Information Systems,School of Science & Engineering,Data Analytics,Summer-2021,Fall-2023,2023,F1,OPT,Boston,MA,USA,https://www.linkedin.com/in/slu-student-277
278,0fdd82ca-644f-4216-bf34-7a4430000145,B0100278,Michael,Ward,Michael,mward.278@slu.edu,michael.ward278@example.com,13692891602,MS Data Science,School of Science & Engineering,Big Data,Fall-2024,Summer-2026,2026,F1,OPT,Hyderabad,MA,India,https://www.linkedin.com/in/slu-student-278
279,76070085-a90b-41e8-8cb6-0a72c71f6552,B0100279,Maurice,Wheeler,Maurice,mwheeler.279@slu.edu,maurice.wheeler279@example.com,19794098151,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Summer-2023,Spring-2025,2025,F1,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-279
280,1e083f58-41eb-4df6-9d56-d07d466baa75,B0100280,Shirley,Wang,Maurice,swang.280@slu.edu,shirley.wang280@example.com,14117107075,MS Data Science,School of Science & Engineering,Big Data,Spring-2021,Summer-2023,2023,F1,STEM OPT,Hyderabad,TX,India,https://www.linkedin.com/in/slu-student-280
281,5ad53680-58ed-418a-973b-90e0d98d669c,B0100281,Jacqueline,White,Jacqueline,jwhite.281@slu.edu,jacqueline.white281@example.com,18827237892,MS Information Technology,School of Science & Engineering,Networking,Spring-2022,Summer-2024,2024,H1B,None,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-281
282,c6c55c2d-9350-4d70-b1d1-ec0e777dedf3,B0100282,Lauren,Douglas,Lauren,ldouglas.282@slu.edu,lauren.douglas282@example.com,18776147603,MBA,Chaifetz School of Business,Business Analytics,Spring-2022,Fall-2023,2023,Other,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-282
283,969c0af3-de48-42ad-a03c-6a9b56741ac4,B0100283,Katelyn,Fernandez,Katelyn,kfernandez.283@slu.edu,katelyn.fernandez283@example.com,19603968968,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2024,Fall-2026,2026,F1,OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-283
284,9fc4cddc-d2f0-4765-be98-944e11ae3ac6,B0100284,Kiara,Molina,Katelyn,kmolina.284@slu.edu,kiara.molina284@example.com,17478848299,MS Data Science,School of Science & Engineering,Big Data,Spring-2023,Summer-2025,2025,F1,OPT,Hyderabad,IL,India,https://www.linkedin.com/in/slu-student-284
285,61c81975-a0d6-4ac6-906c-fb683e0ee62b,B0100285,Steven,Thompson,Steven,sthompson.285@slu.edu,steven.thompson285@example.com,16975168004,MBA,Chaifetz School of Business,Business Analytics,Spring-2020,Spring-2022,2022,F1,OPT,Hyderabad,IL,India,https://www.linkedin.com/in/slu-student-285
286,67d5d7ca-f59d-49a2-b88d-8e1f4ae20bb0,B0100286,Jessica,Carter,Jessica,jcarter.286@slu.edu,jessica.carter286@example.com,19274613037,MS Information Technology,School of Science & Engineering,Networking,Fall-2022,Summer-2024,2024,Citizen,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-286
287,090e2e03-afcd-4647-bea6-b2a9778e9658,B0100287,Adam,Hawkins,Adam,ahawkins.287@slu.edu,adam.hawkins287@example.com,16255046000,MS Cybersecurity,School of Science & Engineering,Network Security,Summer-2023,Spring-2025,2025,Other,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-287
288,68f4ed48-b70b-4079-85e9-4ff9484b981f,B0100288,Jennifer,Rodriguez,Adam,jrodriguez.288@slu.edu,jennifer.rodriguez288@example.com,18288855625,MS Cybersecurity,School of Science & Engineering,Network Security,Spring-2020,Fall-2022,2022,F1,STEM OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-288
289,c083125a-13cd-483c-ba54-5aca065149a8,B0100289,Sandra,Rodriguez,Sandra,srodriguez.289@slu.edu,sandra.rodriguez289@example.com,16085414708,MS Information Technology,School of Science & Engineering,Networking,Summer-2024,Summer-2026,2026,Citizen,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-289
290,4a733a00-152e-44bd-82ed-debb4d991d11,B0100290,Eric,Reeves,Eric,ereeves.290@slu.edu,eric.reeves290@example.com,13142437790,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2020,Spring-2022,2022,F1,STEM OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-290
291,f9823689-5eb1-439e-8007-5e755f9bd242,B0100291,Lori,Smith,Lori,lsmith.291@slu.edu,lori.smith291@example.com,16182361248,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2024,Fall-2026,2026,F1,STEM OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-291
292,26eb3c46-3272-4bda-846b-318e9add5f82,B0100292,Joan,Green,Lori,jgreen.292@slu.edu,joan.green292@example.com,16364262822,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2022,Fall-2024,2024,F1,OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-292
293,632c76da-5b1f-49be-b8f1-6d1e01d85a5a,B0100293,Crystal,Scott,Crystal,cscott.293@slu.edu,crystal.scott293@example.com,16967227871,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Summer-2021,Summer-2023,2023,F1,OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-293
294,bfa307b5-cc30-4dbe-826f-e5c13a4c0af9,B0100294,Megan,Mcfarland,Megan,mmcfarland.294@slu.edu,megan.mcfarland294@example.com,18318064576,MS Information Technology,School of Science & Engineering,Networking,Summer-2021,Fall-2023,2023,F1,STEM OPT,Boston,MA,USA,https://www.linkedin.com/in/slu-student-294
295,dbffb3d7-02b3-45b4-8f77-fdd5d5312027,B0100295,Henry,Rodriguez,Henry,hrodriguez.295@slu.edu,henry.rodriguez295@example.com,17432784408,MS Data Science,School of Science & Engineering,Big Data,Fall-2020,Fall-2022,2022,PR,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-295
296,c434f78c-28f0-417b-b39d-56ae2fb5213f,B0100296,Barbara,Miranda,Henry,bmiranda.296@slu.edu,barbara.miranda296@example.com,17808129743,MS Computer Science,School of Science & Engineering,AI & ML,Fall-2023,Fall-2024,2024,Other,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-296
297,f3f09a0f-9436-4d0e-bd62-54a3ddef47fb,B0100297,Stacy,Miller,Stacy,smiller.297@slu.edu,stacy.miller297@example.com,12467187144,MBA,Chaifetz School of Business,Business Analytics,Summer-2024,Fall-2026,2026,F1,OPT,Hyderabad,NY,India,https://www.linkedin.com/in/slu-student-297
298,a56edacd-c6ca-4f8e-9d4d-e2468fe08620,B0100298,Jason,Moore,Jason,jmoore.298@slu.edu,jason.moore298@example.com,16349467280,MS Cybersecurity,School of Science & Engineering,Network Security,Summer-2024,Summer-2026,2026,H1B,None,Bengaluru,NY,India,https://www.linkedin.com/in/slu-student-298
299,51d12e63-468f-4040-90c3-0c39155bcd66,B0100299,Peter,Gregory,Peter,pgregory.299@slu.edu,peter.gregory299@example.com,13808749124,MBA,Chaifetz School of Business,Business Analytics,Fall-2023,Summer-2025,2025,Citizen,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-299
300,f58373d6-e324-405a-bf13-d23a445f1206,B0100300,Rachel,Wilcox,Peter,rwilcox.300@slu.edu,rachel.wilcox300@example.com,13292821591,MS Information Systems,School of Science & Engineering,Data Analytics,Fall-2022,Summer-2023,2023,F1,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-300
301,17f1ee44-935f-437d-841d-c8640804134b,B0100301,Megan,Bean,Megan,mbean.301@slu.edu,megan.bean301@example.com,14308976827,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Fall-2023,Fall-2025,2025,F1,OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-301
302,6b4f466b-f211-429c-a499-e0fbfd05019c,B0100302,Dana,Coleman,Dana,dcoleman.302@slu.edu,dana.coleman302@example.com,13783576681,MS Computer Science,School of Science & Engineering,AI & ML,Summer-2020,Summer-2021,2021,F1,None,Austin,TX,USA,https://www.linkedin.com/in/slu-student-302
303,2aac66f3-3ffa-4582-9529-d58fdd7d37f6,B0100303,Patricia,Ball,Patricia,pball.303@slu.edu,patricia.ball303@example.com,19656132763,MBA,Chaifetz School of Business,Business Analytics,Fall-2021,Fall-2022,2022,F1,OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-303
304,26a5d183-4107-40e9-9307-d95c9e220493,B0100304,Joseph,Owens,Patricia,jowens.304@slu.edu,joseph.owens304@example.com,19069661770,MS Information Technology,School of Science & Engineering,Networking,Fall-2020,Summer-2021,2021,F1,OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-304
305,27cffd01-f1f7-41aa-9a76-14a2f6cfe37f,B0100305,Cody,Medina,Cody,cmedina.305@slu.edu,cody.medina305@example.com,12248499105,MS Data Science,School of Science & Engineering,Big Data,Summer-2023,Fall-2025,2025,PR,None,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-305
306,cc4f9bd9-cc20-4af7-891e-61d3ae59a740,B0100306,Yvonne,Campbell,Yvonne,ycampbell.306@slu.edu,yvonne.campbell306@example.com,18944889112,MS Data Science,School of Science & Engineering,Big Data,Fall-2020,Spring-2022,2022,F1,OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-306
307,625837d8-b58e-48a3-9313-710f1fb72922,B0100307,Michael,Singh,Michael,msingh.307@slu.edu,michael.singh307@example.com,12542287784,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2021,Fall-2023,2023,Citizen,None,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-307
308,e9ce3718-c3a2-463e-aeed-6c85588f4aff,B0100308,Jessica,Meyers,Michael,jmeyers.308@slu.edu,jessica.meyers308@example.com,18948671393,MS Computer Science,School of Science & Engineering,AI & ML,Summer-2024,Fall-2025,2025,F1,STEM OPT,Boston,MA,USA,https://www.linkedin.com/in/slu-student-308
309,7f17df2d-385b-436f-ab0b-426abdc4cb7b,B0100309,Annette,Hall,Annette,ahall.309@slu.edu,annette.hall309@example.com,15876905361,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Spring-2020,Summer-2021,2021,PR,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-309
310,e0db2d9a-cedc-47f3-be16-a074d4f11f55,B0100310,Emily,Torres,Emily,etorres.310@slu.edu,emily.torres310@example.com,19042753280,MS Data Science,School of Science & Engineering,Big Data,Summer-2023,Summer-2025,2025,F1,OPT,Bengaluru,NY,India,https://www.linkedin.com/in/slu-student-310
311,92a380c8-3c17-41c9-a995-9f1a81cee1bf,B0100311,David,Smith,David,dsmith.311@slu.edu,david.smith311@example.com,14389532476,MS Cybersecurity,School of Science & Engineering,Network Security,Fall-2020,Summer-2021,2021,F1,STEM OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-311
312,44ea971a-154a-43a7-9b35-eb8a18aaf02f,B0100312,Sara,Owens,David,sowens.312@slu.edu,sara.owens312@example.com,12444081440,MS Information Technology,School of Science & Engineering,Networking,Fall-2022,Spring-2023,2023,F1,OPT,Bengaluru,TX,India,https://www.linkedin.com/in/slu-student-312
313,c2c1dd42-b9d0-430c-83fc-9046e28ba591,B0100313,Benjamin,Brown,Benjamin,bbrown.313@slu.edu,benjamin.brown313@example.com,12147608947,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2024,Summer-2025,2025,Citizen,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-313
314,5c2118fb-51dd-4f4c-896d-3f3e257af7c7,B0100314,Linda,Mcclain,Linda,lmcclain.314@slu.edu,linda.mcclain314@example.com,14654677155,MBA,Chaifetz School of Business,Business Analytics,Spring-2024,Spring-2025,2025,F1,STEM OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-314
315,09753374-3605-4996-9e77-e4b7ef1cf27f,B0100315,Matthew,James,Matthew,mjames.315@slu.edu,matthew.james315@example.com,17853528924,MS Data Science,School of Science & Engineering,Big Data,Summer-2022,Fall-2024,2024,F1,STEM OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-315
316,83c4bb81-86e4-4616-a67c-7f68cc5d4fa0,B0100316,Justin,Martin,Matthew,jmartin.316@slu.edu,justin.martin316@example.com,13052644991,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Summer-2023,Summer-2025,2025,F1,STEM OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-316
317,973c6f39-b214-4ab0-ae0e-84a15334b73b,B0100317,Belinda,Evans,Belinda,bevans.317@slu.edu,belinda.evans317@example.com,15138118199,MBA,Chaifetz School of Business,Business Analytics,Spring-2022,Spring-2023,2023,F1,STEM OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-317
318,f399c615-e1d6-4c05-b785-e6a9a4bc8c80,B0100318,Laura,Johnson,Laura,ljohnson.318@slu.edu,laura.johnson318@example.com,19222782406,MS Cybersecurity,School of Science & Engineering,Network Security,Fall-2023,Summer-2025,2025,F1,STEM OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-318
319,8e8b484d-ce39-4612-9ddb-3aab0b0cc056,B0100319,Jesus,Roberts,Jesus,jroberts.319@slu.edu,jesus.roberts319@example.com,18574145009,MS Data Science,School of Science & Engineering,Big Data,Fall-2024,Spring-2026,2026,F1,None,Hyderabad,TX,India,https://www.linkedin.com/in/slu-student-319
320,a0e7243e-e39a-4def-8ad4-0b0cef19d137,B0100320,Mary,Hunt,Jesus,mhunt.320@slu.edu,mary.hunt320@example.com,15238511627,MBA,Chaifetz School of Business,Business Analytics,Spring-2023,Summer-2024,2024,H1B,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-320
321,69334b82-c593-4edc-a885-f831e4d6e22e,B0100321,Matthew,Yang,Matthew,myang.321@slu.edu,matthew.yang321@example.com,15886657313,MS Software Engineering,School of Science & Engineering,Cloud Computing,Spring-2022,Spring-2023,2023,Other,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-321
322,86c89d77-cbb4-44da-a922-2510d10b4436,B0100322,Kelly,Cobb,Kelly,kcobb.322@slu.edu,kelly.cobb322@example.com,19034925002,MS Information Technology,School of Science & Engineering,Networking,Summer-2024,Summer-2026,2026,F1,OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-322
